epoch,acc,loss,val_acc,val_loss
0,0.8762625242404655,0.3032197689405163,0.9021501457725948,0.2773752690512828
1,0.9270768624726838,0.1920337159242612,0.926829268292683,0.21145448080887042
2,0.9396877825101521,0.16171322069357716,0.9390243902384576,0.17460770511492166
3,0.9473846355875336,0.14340027985536427,0.9270119667434361,0.23561702753878558
4,0.9523441564034768,0.1300309223247864,0.9137663286690778,0.2912255053167595
5,0.9566319702235765,0.12007877846026518,0.9403489540567831,0.1653566738454307
6,0.9601218163364171,0.11087233344540454,0.9324472458207728,0.23591027039717583
7,0.9619197688935947,0.10538262898109561,0.935233397277793,0.18452032070123378
8,0.9638540830201483,0.10075002822665051,0.9067781127195026,0.3467546670817671
9,0.9657025398620123,0.09516862669615146,0.9162327578277515,0.30461535956926666
