epoch,acc,loss,val_acc,val_loss
0,0.9164394490224592,0.21799101606360505,0.9283892128279884,0.20764473527425537
1,0.9317140909420152,0.18236980515155476,0.9442670801787831,0.15787493042606382
2,0.9372181685055672,0.16909353108605632,0.9448599835811365,0.15366093391314872
3,0.9386421592163872,0.1658074237201399,0.9393414211438474,0.17634177445530455
4,0.9408387406287637,0.16108172712248217,0.9415762108911794,0.16952201791036636
5,0.9433483980089478,0.15705659416870013,0.9444951199434822,0.15455518679512054
6,0.9418436135026637,0.15842360533886954,0.9408920915807717,0.16667380559458733
7,0.9459489484203157,0.1503957060456267,0.946729909696251,0.1499703544243242
8,0.9477718585098593,0.1462590657924969,0.9473228130986044,0.15983613982047737
9,0.9489686166607784,0.1434145600194327,0.9412569552075523,0.16668780829135948
10,0.9504330042669226,0.13963552974167306,0.939204597281766,0.16270446678236222
11,0.9504532027166915,0.13900269650974492,0.9493751710298276,0.15443648416153094
12,0.9488979220865869,0.14406022048184333,0.9482805801331752,0.15363714395206982
13,0.9511702476834903,0.1384276315405279,0.9234242451883609,0.23389049336514006
14,0.9508016259752065,0.1395230529703401,0.9433093131442124,0.1523078872164616
15,0.9513621329584024,0.13955591410420304,0.9333211712122594,0.19885384658400643
16,0.9523872042820714,0.13619037829603803,0.9463650460640336,0.15052177698884003
17,0.9482111747929366,0.14758079530590398,0.9541640062026817,0.13457492428022932
18,0.9514176786952672,0.13969321888553698,0.9327282678044692,0.1798696179049278
19,0.9533112833590022,0.13546333647452702,0.9509714494207789,0.1521511568730247
20,0.9515136213316698,0.13705981975612197,0.9490559153516374,0.1488605032765951
21,0.9538465422778801,0.13303229953575163,0.9542552221107361,0.13185226664315455
22,0.9502209205464551,0.14059566290588293,0.9451792392593268,0.17999228871227246
23,0.9517459035025082,0.1371323280604738,0.9518380005472954,0.13609936426566224
24,0.9522407655212463,0.1374662791393022,0.9585879777378815,0.13829642372882237
25,0.949988638372005,0.1454594024220227,0.932180972356143,0.1947995214787189
26,0.9522205670699724,0.1377182986368981,0.9260695065219374,0.246630708943136
27,0.9492715934052062,0.14605624798558242,0.9538447505244915,0.1370641318144173
28,0.948443456963173,0.14797392078828478,0.9395238529545193,0.16164242141244403
29,0.9511399500073319,0.1418210952097812,0.9559427164097418,0.1334853453589188
